央视频道,#genre#
CCTV1,http://39.134.3.73:6610/000000001777/400000000100111001/1.m3u8
CCTV2,http://39.134.3.73:6610/000000001777/400000000100111002/1.m3u8
CCTV3,http://39.134.3.73:6610/000000001777/400000000100111057/1.m3u8
CCTV4,http://39.134.3.73:6610/000000001777/400000000100111003/1.m3u8
CCTV5,http://39.134.3.73:6610/000000001777/400000000100111058/1.m3u8
CCTV5+,http://39.134.3.73:6610/000000001666/100000000100111005/1.m3u8
CCTV6,http://39.134.3.73:6610/000000001777/400000000100111059/1.m3u8
CCTV7,http://39.134.3.73:6610/000000001777/400000000100111004/1.m3u8
CCTV8,http://39.134.3.73:6610/000000001777/400000000100111060/1.m3u8
CCTV9,http://39.134.3.73:6610/000000001777/400000000100111005/1.m3u8
CCTV10,http://39.134.3.73:6610/000000001777/400000000100111006/1.m3u8
CCTV11,http://39.134.3.73:6610/000000001777/400000000100111007/1.m3u8
CCTV12,http://39.134.3.73:6610/000000001777/400000000100111008/1.m3u8
CCTV13,http://39.134.3.73:6610/000000001777/400000000100111009/1.m3u8
CCTV14,http://39.134.3.73:6610/000000001777/400000000100111010/1.m3u8
CCTV15,http://39.134.3.73:6610/000000001777/400000000100111011/1.m3u8
CCTV16,http://39.134.3.73:6610/000000001666/100000000100111091/1.m3u8
CCTV17,http://39.134.3.73:6610/000000001777/400000000100111012/1.m3u8
重庆地方频道,#genre#
重庆卫视,http://39.134.3.73:6610/000000001777/400000000100111013/1.m3u8
重庆新闻,http://39.134.3.73:6610/000000001777/400000000100111014/1.m3u8
重庆影视,http://39.134.3.73:6610/000000001777/400000000100111015/1.m3u8
重庆社会与法,http://39.134.3.73:6610/000000001777/400000000100111016/1.m3u8
重庆时尚生活,http://39.134.3.73:6610/000000001777/400000000100111017/1.m3u8
重庆娱乐,http://39.134.3.73:6610/000000001777/400000000100111018/1.m3u8
重庆新农村,http://39.134.3.73:6610/000000001777/400000000100111019/1.m3u8
重庆少儿,http://39.134.3.73:6610/000000001777/400000000100111020/1.m3u8
重庆科教,http://39.134.3.73:6610/000000001777/400000000100111021/1.m3u8
重庆汽摩,http://39.134.3.73:6610/000000001777/400000000100111022/1.m3u8
CQTV移动,http://39.134.3.73:6610/000000001777/400000000100111023/1.m3u8
港澳台及国际,#genre#
凤凰卫视,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.m3u8
凤凰资讯,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.m3u8
凤凰香港台,https://epg.pw/stream/e04b14233c7014451fd340e1c5d0cc6a7a47937fa22d135f61caa76777602bad.m3u8
凤凰香港,http://116.162.6.192/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.m3u8
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
BBC 1,https://epg.pw/stream/3286edb28d1581dd066fd1a1d7e46267c676b30da26568b56f4bdf6f2e7ffc86.ctv
BBC 2,https://epg.pw/stream/12d6f12d2753303dd5b49fa7024e6d52695410afdedeca4f0f8523d474a440c6.ctv
BBC 3,https://epg.pw/stream/229cf2b473238971515793f0a0bb07a7e06bc21c423f2bb5c612d3f8251e37f4.ctv
BBC 4,https://epg.pw/stream/91b178d942861ba365dbf1fbdf34112f1ad3b92304e1bff3e74e6fa4a93382fe.ctv
bbc news,https://epg.pw/stream/5a5447e4765a0b06d72b11253cd9076e11296703cdc396603b99c9955dc3fdba.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
HBOFamily,https://epg.pw/stream/e630168962ef858be879b07867cb51209502977f929fcd0806d6c56beb4e5344.m3u8
TVB娛樂新聞,https://epg.pw/stream/57737ed82a70288e90bca3ef3b9e7ed3e8b896445947908bd76d4ed3c4ba6c43.m3u8
TVB翡翠,https://epg.pw/stream/b1bedc34e0cd84c712106b10fa7bd2055a46898678c37e35aebe43290c2c8a1f.m3u8
TVB翡翠,https://epg.pw/stream/80c9fc96e45c72553ecc03313de560755db339689870f9095aa9c685e39879e5.m3u8
TVB亞洲劇,https://epg.pw/stream/c88adc69fe22cc05c7ff2984ad14db99f461e6dda12687cb7bbaf5e03a357a38.m3u8
TVB亞洲劇,https://epg.pw/stream/a4696392133577ed03dbedefe5c18c3c7a178b0899b2f814fa6c532bc521f8f4.m3u8
TVB星河,https://epg.pw/stream/eee97f3ab8d484adff720fc3c90eb1f280b02264d5d2e3971262bb416aab5767.m3u8
TVB星河,https://epg.pw/stream/3388eca1a9b5d5c9a7da8bd8b4da3460113b22b0582b44f51a8111fc90f91749.m3u8
明珠台,https://epg.pw/stream/00a74ca4020cd952c9e1ff1f90b8f7b9be9c1da4f0a915e1e0aa7c9dfa356197.m3u8
电影,#genre#
CHC动作电影,https://epg.pw/stream/9e5dbc0cbb15ba574f44e0d67c54cff2c85a7ed97dbb73e3b2101b26fec45cf1.m3u8
CHC家庭影院,https://epg.pw/stream/d6c6dcdce08fdda05114649d8ceaa9c9fbf5e053724fa7b21a0b8e28bdeef696.m3u8
CHC影迷电影,http://58.216.99.148:80/live2.rxip.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
HBO 3,https://epg.pw/stream/e48bbacbaca8e9bebed4a4df77e2a5bfdc485b92d9c569f277269368efd21029.ctv
HBO ASIA,https://epg.pw/stream/753b8be4e27b542f28e5e77959b0713a54846dc6ebd6b738937cf5cf5cc1f566.ctv
HBO,https://epg.pw/stream/634ce7f6f111aa198805dba422ee5609796ebbff0b15d76f5375a0bef7e3e7eb.ctv
哈尔滨影视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226552/index.m3u8
欢笑剧场,https://epg.pw/stream/c26de373680830b38e7b3f0da2f920353f298e3369addfe68b8e4a2e3811a12b.ctv
精彩电视剧,https://epg.pw/stream/928ec61fb7568b106f35028dcf4575c4fc9c32522617d35d026abc83ac23687c.m3u8
都市剧场,https://epg.pw/stream/2eabe02805b061c8bec403738aa242cadc769f72b5711c5b2567abd96b669815.m3u8
北京淘剧场,https://epg.pw/stream/6a4d00df7e820e3e344d3fbf0323a207c5e3e2560b1f7cd7a6fc3fd46fa0cd8f.ctv
北京淘电影,https://epg.pw/stream/0163d007c5f88cc778ce4b753afb81eb14f6ed35db2f1fb8f04b72b08a46eec4.ctv
苏州|南京影视,https://epg.pw/stream/773779969ebf5c865e70a25fe14b254c3b9dfd50bb0d8827c20723253e61628d.m3u8
吉林影视,https://epg.pw/stream/64c6da042a172abe0b223936e2b7d91d4109fa5c8e416b5bb7a265e36e0f43d7.m3u8
广东影视,https://epg.pw/stream/cbeb37fe05086e8a0e425d6a98c17e3ba01a9c5ef8e74b9b128bc9d5e41b4a8c.m3u8
广西影视,https://epg.pw/stream/397ad4626ff6079e13990bc6474d9a855c149a7fdf3c827d83bd1277547dc025.m3u8
武汉电视剧,https://epg.pw/stream/453349f87c7f953c1def3cb52e7a9312505eed5ed2fbaa97d9b928c3f582d392.m3u8
河北影视,https://epg.pw/stream/f927788e08949e5333ad97affc4fb4b9649bef97948e0794f1ec0936054bd8c3.m3u8
河北影视剧,https://epg.pw/stream/c052b9f414bbbf9c00616f9184da6d11fa730d903171e2ae8d1ef1b80538f600.m3u8
河南电视剧,https://epg.pw/stream/54004d9576e0f7f4fd5d8ff86403b3419be425bb87b611182cd7af86f586391b.m3u8
湖北影视,https://epg.pw/stream/363fe4337ffac6ddf7add20ba1d6eb7b3fc57ebf9d1207e991edc95a10bd34e9.m3u8
